ce_code_normalized,authority_cfr,plain_language_description,record_count_in_nepatec,agencies,indoor_only,acreage_threshold,requires_gis_extraordinary_circumstances_check,applicable_sectors,applicable_project_types
516 DM 11.9,516 DM 11.9 Appendix 4,"BLM CE for realty, resource mgmt, ROW actions on BLM lands",9934,BLM; DOD; DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production -
B1.3,DOE 10 CFR 1021 App.B §B1.3,O&M and minor improvements at existing facilities; no or negligible new physical disturbance outside existing footprint,5397,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Broadband; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Nuclear; Conventional Energy Production - Other; Conven
B3.6,DOE 10 CFR 1021 App.B §B3.6,"Siting, construction, operation, decommissioning of indoor bench-scale research/pilot facilities",4524,DOE,Yes,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-bas
516 DM 2,"43 CFR Part 46.210, 516 DM 2, Appendix 1, and 516 DM 11.9 F. (2), A CX can now b","43 CFR Part 46.210, 516 DM 2, Appendix 1, and 516 DM 11.9 F. (2), A CX can now be used for this type of action when no t",1612,BLM; DOD; DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production -
A9 + B3.6,"A9, B3.6","A9, B3.6",1445,DOD; DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-bas
43 CFR 46.210,43 CFR Part 46.210,"DOI CE for routine, administrative, or minor actions across DOI agencies",1221,BLM; Other,Yes,,Yes,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Other; Conventional Energy Production 
B5.1,DOE 10 CFR 1021 App.B §B5.1,Actions to conserve energy or promote energy efficiency; no increase in indoor emissions beyond minor,1209,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Produc
516 DM 11.9 E,"516 DM 11.9 E (19), Issuance of short-term (3 years or less) rights-of-way or la","516 DM 11.9 E (19), Issuance of short-term (3 years or less) rights-of-way or land use authorizations ... where the prop",1157,BLM; DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Aviation - Airports and Air Traffic; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production -
Energy Policy Act 2005 Sec.390,Energy Policy Act 2005 §390,Oil and gas activities on leased federal land (general),902,BLM; Other,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastr,Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Production - Offshore Oil and Gas; Conventional Energy Production - Rural Energy; Ecosystem Management and Restoration; Electricit
A11 + A9,"A9, A11","A9, A11",854,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Produc
A9,DOE 10 CFR 1021 App.A §A9,"Financial assistance (grants/cooperative agreements) for R&D, education, training — no physical disturbance",753,DOE,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Commercial Space; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional Energy Pro
B3.1,DOE 10 CFR 1021 App.B §B3.1,"Onsite/offsite site characterization, environmental monitoring",700,DOE; Other,No,,No,"Agriculture and Natural Resource Management; Energy Production and Management; Environmental Policy and Regulation; Land Development and Urban Planning; Materials and Manufacturing; Military, Defense, and Emergency Response; Miscellaneous and Emergin",Agriculture; Artificial Intelligence and Machine Learning; Aviation - Airports and Air Traffic; Broadband; Carbon Capture and Sequestration; Conventional Energy Production - Coal; Conventional Energy Production - Land-based Oil & Gas; Conventional En
Energy Policy Act 2005 Sec.390 Cat.3,Energy Policy Act 2005 §390(b)(3),Drilling an oil or gas well within a developed field with approved APD,665,BLM,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Habitat Conservation Plan; Land Development - Other; Land Use or Forest Management Plan; Mining - Non-Metallic Minerals; Pipelines;
Energy Policy Act 2005 Sec.390(b)(4),Energy Policy Act 2005 §390(b)(4),Placement of a pipeline in an approved right-of-way corridor,616,BLM; DOE,No,,No,Agriculture and Natural Resource Management; Energy Production and Management; Land Development and Urban Planning; Materials and Manufacturing; Miscellaneous and Emerging Technologies; Transportation and Infrastructure; Water and Waste Management,Broadband; Conventional Energy Production - Land-based Oil & Gas; Ecosystem Management and Restoration; Electricity Transmission; Land Development - Other; Land Use or Forest Management Plan; Manufacturing; Mining - Non-Metallic Minerals; Other; Pipe
