agency,sectors,project_types,total_records,top_code,top_code_count,second_code,second_code_count,third_code,third_code_count,fourth_code,fourth_code_count,discriminating_input
BLM,Land Development and Urban Planning,Public and Recreational Land Use,1465,516 DM 11.9,519,516 DM 11.5,238,516 DM 11.9 H,153,43 CFR 46.210,94,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Transportation and Infrastructure,"Conventional Energy Production - Land-based Oil & Gas; Pipelines; Utilities (electricity, gas, telecommunications)",1136,516 DM 11.9,567,Energy Policy Act 2005 Sec.390(b)(4),107,516 DM 6,70,516 DM 11.9 E,67,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
DOE,Transportation and Infrastructure,"Electricity Transmission; Utilities (electricity, gas, telecommunications)",742,B1.3,345,B4.6,86,B4.2,60,B1.24,31,action_type: Operate/Maintain Existing → B1.3
DOE,Miscellaneous and Emerging Technologies,Research and Development,639,B3.6,420,A9,38,A9 + B3.6,38,A11 + A9 + B3.6,24,action_type: Operate/Maintain Existing → B3.6
BLM,Agriculture and Natural Resource Management,Agriculture; Land Use or Forest Management Plan; Rangeland Management,598,516 DM 11.9,201,FLPMA 402(h),100,43 CFR 46.210,72,516 DM 2,56,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Land Development and Urban Planning; Transportation and Infrastructure,"Broadband; Land Development - Other; Utilities (electricity, gas, telecommunications)",519,516 DM 11.9,278,516 DM 11.9 E,61,516 DM 2,33,516 DM,18,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Energy Production and Management; Miscellaneous and Emerging Technologies; Water and Waste Management,Carbon Capture and Sequestration; Research and Development; Waste Management,504,B3.6,111,A11 + A9 + B3.6,47,A11 + A9,43,A1 + A11 + A9 + B3.6,40,action_type: Operate/Maintain Existing → B3.6
BLM,Transportation and Infrastructure,"Electricity Transmission; Utilities (electricity, gas, telecommunications)",438,516 DM 11.9,247,516 DM 11.9 E,45,516 DM 2,21,516 DM 11,19,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management; Environmental Policy and Regulation,"Agriculture; Laws, Policies, Regulations, and Guidance; Rangeland Management",410,516 DM 11.9,195,516 DM 11.5.D,39,516 DM 11.9 D,33,516 DM 11.9 D.1,18,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Miscellaneous and Emerging Technologies; Water and Waste Management,Nuclear Technology; Waste Management,392,B1.3,167,B2.5,32,B3.6,27,B1.31,22,action_type: Operate/Maintain Existing → B1.3
DOE,Materials and Manufacturing; Miscellaneous and Emerging Technologies,Manufacturing; Research and Development,385,B3.6,238,A9 + B3.6,49,A11 + A9 + B3.6,27,A1 + A11 + A9 + B3.6,9,action_type: Operate/Maintain Existing → B3.6
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Surface Transportation - Other,380,516 DM 11.9,155,Energy Policy Act 2005 Sec.390 Cat.1,50,516 DM 6,47,516 DM 11,40,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Land Development and Urban Planning; Transportation and Infrastructure,"Electricity Transmission; Land Development - Other; Utilities (electricity, gas, telecommunications)",367,516 DM 11.9,174,516 DM 11.9 E,36,516 DM 6,24,516 DM,21,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Transportation and Infrastructure,"Utilities (electricity, gas, telecommunications)",362,B1.3,175,B2.2,32,B2.1,31,B2.5 + B5.1,14,action_type: Operate/Maintain Existing → B1.3
BLM,Energy Production and Management; Land Development and Urban Planning; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Land Development - Other; Pipelines,337,Energy Policy Act 2005 Sec.390 Cat.3,89,Energy Policy Act 2005 Sec.390 Cat.1,49,516 DM 11.9,44,Energy Policy Act 2005 Sec.390,44,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Land Development and Urban Planning; Transportation and Infrastructure,Land Development - Other; Surface Transportation - Other,336,516 DM 11.9,184,516 DM 11.9 E,42,516 DM,15,516 DM 2,11,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Pipelines; Waste Management,324,Energy Policy Act 2005 Sec.390(b)(4),91,516 DM 6,57,516 DM 11.9,49,Energy Policy Act 2005 Sec.390,32,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Energy Production and Management; Transportation and Infrastructure,Conventional Energy Production - Land-based Oil & Gas; Pipelines,302,516 DM 11.9,114,Energy Policy Act 2005 Sec.390 Cat.1,33,Energy Policy Act 2005 Sec.390(b)(4),31,516 DM 6,25,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
BLM,Transportation and Infrastructure,"Broadband; Utilities (electricity, gas, telecommunications)",298,516 DM 11.9,167,516 DM 11.9 E,30,516 DM 2,14,516 DM,9,action_type: Operate/Maintain Existing → 516 DM 11.9
BLM,Agriculture and Natural Resource Management,Agriculture; Rangeland Management,296,516 DM 11.9,122,FLPMA 402(h),21,516 DM 2,19,516 DM 11.5.D,18,action_type: Operate/Maintain Existing → 516 DM 11.9
DOE,Land Development and Urban Planning; Transportation and Infrastructure,"Electricity Transmission; Land Development - Other; Utilities (electricity, gas, telecommunications)",290,B1.3,76,B4.11,45,B4.6,38,B1.24,23,action_type: Operate/Maintain Existing → B1.3
BLM,Energy Production and Management; Transportation and Infrastructure; Water and Waste Management,Conventional Energy Production - Land-based Oil & Gas; Pipelines; Waste Management; Water Resources - Other,285,Energy Policy Act 2005 Sec.390(b)(4),66,516 DM 11.9,49,516 DM 6,36,Energy Policy Act 2005 Sec.390,29,action_type: Renew/Extend Existing → 516 DM E9; Construct New + <5 acres → EPA Sec.390
